,Player_Name
0,Ruturaj Gaikwad
5,Devon Conway
7,MS Dhoni
24,Ajinkya Rahane
40,Shaik Rasheed
41,Sameer Rizvi
42,Avanish Rao Aravelly
43,Ravindra Jadeja
59,Mitchell Santner
63,Moeen Ali
69,Shivam Dube
75,Nishant Sindhu
76,Ajay Mandal
77,Rachin Ravindra
78,Shardul Thakur
86,Daryl Mitchell
88,Rajvardhan Hangargekar
89,Deepak Chahar
97,Maheesh Theekshana
100,Mukesh Choudhary
101,Mustafizur Rahman
108,Prashant Solanki
109,Simarjeet Singh
110,Tushar Deshpande
114,Matheesha Pathirana
116,Rishabh Pant
124,David Warner
139,Prithvi Shaw
145,Yash Dhull
146,Shai Hope
147,Swastik Chhikara
148,Abishek Porel
150,Harry Brook
151,Ricky Bhui
154,Kumar Kushagra
155,Tristan Stubbs
158,Axar Patel
169,Lalit Yadav
172,Mitchell Marsh
180,Sumit Kumar
181,Pravin Dubey
183,Vicky Ostwal
184,Anrich Nortje
188,Kuldeep Yadav
196,Jake Fraser-McGurk
197,Khaleel Ahmed
204,Ishant Sharma
218,Jhye Richardson
219,Mukesh Kumar
220,Rasikh Dar
222,Shubman Gill
229,David Miller
242,Matthew Wade
244,Wriddhiman Saha
261,BR Sharath
262,Robin Minz
263,Kane Williamson
272,Abhinav Manohar
274,B. Sai Sudharsan
277,Darshan Nalkande
279,Vijay Shankar
288,Azmatullah Omarzai
289,Shahrukh Khan
292,Jayant Yadav
299,Rahul Tewatia
309,Mohammad Shami
317,Kartik Tyagi
321,Sushant Mishra
322,Spencer Johnson
323,Noor Ahmad
324,Sai Kishore
326,Umesh Yadav
340,Rashid Khan
348,Joshua Little
349,Mohit Sharma
359,Manav Suthar
360,Shreyas Iyer
369,Rinku Singh
375,Rahmanullah Gurbaz
376,Nitish Rana
385,Sherfane Rutherford
387,Phil Salt
389,K.S Bharat
391,Manish Pandey
407,Angkrish Raghuvanshi
408,Anukul Roy
411,Ramandeep Singh
413,Andre Russell
425,Venkatesh Iyer
429,Suyash Sharma
431,Mujeeb Ur Rahman
435,Dushmantha Chameera
436,Sakib Hussain
437,Harshit Rana
440,Sunil Narine
453,Vaibhav Arora
455,Varun Chakaravarthy
461,Mitchell Starc
464,Chetan Sakariya
467,KL Rahul
478,Devdutt Padikkal
483,Quinton de Kock
494,Nicholas Pooran
500,Ashton Turner
502,Ayush Badoni
505,Deepak Hooda
515,Krishnappa Gowtham
520,Krunal Pandya
529,Kyle Mayers
530,Marcus Stoinis
539,Mohd. Arshad Khan
540,Prerak Mankad
542,Yudhvir Singh
543,Arshin Kulkarni
544,David Willey
547,Shivam Mavi
551,Shamar Joseph
552,Mayank Yadav
553,Mohsin Khan
556,Ravi Bishnoi
561,Yash Thakur
563,Amit Mishra
578,Naveen Ul Haq
580,M. Siddharth
581,Rohit Sharma
598,Dewald Brevis
600,Suryakumar Yadav
611,Ishan Kishan
620,N. Tilak Varma
623,Tim David
627,Vishnu Vinod
629,Hardik Pandya
639,Arjun Tendulkar
640,Mohammad Nabi
645,Romario Shepherd
647,Shams Mulani
648,Nehal Wadhera
649,Gerald Coetzee
650,Anshul Kamboj
651,Naman Dhir
652,Shivalik Sharma
653,Jasprit Bumrah
664,Kumar Kartikeya Singh
666,Piyush Chawla
682,Akash Madhwal
683,Luke Wood
684,Dilshan Madushanka
685,Shreyas Gopal
693,Nuwan Thushara
694,Shikhar Dhawan
711,Jitesh Sharma
714,Jonny Bairstow
719,Prabhsimran Singh
725,Liam Livingstone
730,Harpreet Bhatia
734,Rilee Rossouw
737,Shashank Singh
739,Chris Woakes
742,Vishwanath Pratap Singh
743,Ashutosh Sharma
744,Tanay Thyagarajann
745,Atharva Taide
746,Rishi Dhawan
752,Sam Curran
757,Sikandar Raza
758,Shivam singh
759,Prince Choudhary
760,Harpreet Brar
766,Arshdeep Singh
772,Kagiso Rabada
779,Nathan Ellis
782,Rahul Chahar
789,Vidwath Kaverappa
790,Harshal Patel
802,Sanju Samson
814,Jos Buttler
823,Shimron Hetmyer
829,Yashasvi Jaiswal
834,Dhruv Jurel
836,Riyan Parag
842,Kunal Rathore
843,Donovan Ferreira
844,Rovman Powell
846,Shubham Dubey
847,Tom Kohler-Cadmore
848,Ravichandran Ashwin
863,Tanush Kotian
864,Abid Mushtaq
865,Avesh Khan
873,Kuldeep Sen
875,Navdeep Saini
880,Prasidh Krishna
885,Sandeep Sharma
897,Trent Boult
907,Yuzvendra Chahal
919,Adam Zampa
922,Nandre Burger
923,Faf du Plessis
935,Rajat Patidar
938,Virat Kohli
955,Anuj Rawat
959,Dinesh Karthik
976,Suyash S Prabhudessai
978,Will Jacks
979,Saurav Chuahan
980,Glenn Maxwell
992,Mahipal Lomror
999,Karn Sharma
1010,Cameron Green
1012,Swapnil Singh
1013,Mayank Dagar
1015,Manoj Bhandage
1016,Akash Deep
1018,Alzarri Joseph
1022,Lockie Ferguson
1028,Mohammed Siraj
1036,Yash Dayal
1039,Tom Curran
1042,Reece Topley
1043,Himanshu Sharma
1044,Rajan Kumar
1045,Vyshak Vijay Kumar
1046,Abdul Samad
1051,Aiden Markram
1055,Rahul Tripathi
1063,Glenn Phillips
1065,Mayank Agarwal
1079,Anmolpreet Singh
1082,Heinrich Klaasen
1086,Upendra Singh Yadav
1087,Nitish Kumar Reddy
1088,Travis Head
1090,Abhishek Sharma
1097,Marco Jansen
1101,Washington Sundar
1108,Sanvir Singh
1109,Wanindu Hasaranga
1112,Pat Cummins
1119,Akash Singh
1121,Shahbaz Ahamad
1126,Bhuvneshwar Kumar
1140,Fazalhaq Farooqi
1142,Jaydev Unadkat
1156,T Natarajan
1162,Umran Malik
1165,Mayank Markande
1171,Jhathavedh Subramanyan
